TL,Territory Level and Typology,REG_ID,Region,VAR,Indicator,SEX,Gender,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Urban,Flag Codes,Flags
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2009,2009,,,0,Units,,,34.95,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2010,2010,,,0,Units,,,34.97,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,35,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2012,2012,,,0,Units,,,35.04,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2013,2013,,,0,Units,,,35.08,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,35.15,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,35.09,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2016,2016,,,0,Units,,,35.15,,
1_PU,  Country - predominantly urban regions,DEU,Germany,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,42.66,,
1_PU,  Country - predominantly urban regions,DEU,Germany,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2012,2012,,,0,Units,,,42.84,,
1_PU,  Country - predominantly urban regions,DEU,Germany,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2013,2013,,,0,Units,,,43,,
1_PU,  Country - predominantly urban regions,DEU,Germany,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,43.13,,
1_PU,  Country - predominantly urban regions,DEU,Germany,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,43.24,,
1_PU,  Country - predominantly urban regions,DEU,Germany,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2016,2016,,,0,Units,,,43.31,,
1_PU,  Country - predominantly urban regions,GBR,United Kingdom,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,74.56,,
1_PU,  Country - predominantly urban regions,GBR,United Kingdom,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,74.6,,
1_PU,  Country - predominantly urban regions,GBR,United Kingdom,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2016,2016,,,0,Units,,,74.65,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2000,2000,,,0,Units,,,47.21,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2001,2001,,,0,Units,,,47.28,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2002,2002,,,0,Units,,,47.32,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2003,2003,,,0,Units,,,47.43,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2004,2004,,,0,Units,,,47.66,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2005,2005,,,0,Units,,,47.86,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2006,2006,,,0,Units,,,48.16,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2007,2007,,,0,Units,,,48.51,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2008,2008,,,0,Units,,,48.82,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2009,2009,,,0,Units,,,49.1,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2010,2010,,,0,Units,,,49.39,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,49.71,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2012,2012,,,0,Units,,,49.88,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2013,2013,,,0,Units,,,50.08,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,50.48,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,50.78,,
1_PU,  Country - predominantly urban regions,LVA,Latvia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2016,2016,,,0,Units,,,51.09,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2000,2000,,,0,Units,,,24.37,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2001,2001,,,0,Units,,,24.4,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2002,2002,,,0,Units,,,24.47,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2003,2003,,,0,Units,,,24.58,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2004,2004,,,0,Units,,,24.77,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2005,2005,,,0,Units,,,24.99,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2006,2006,,,0,Units,,,25.27,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2007,2007,,,0,Units,,,25.48,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2008,2008,,,0,Units,,,25.72,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2009,2009,,,0,Units,,,25.96,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2010,2010,,,0,Units,,,26.23,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,26.58,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2012,2012,,,0,Units,,,26.83,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2013,2013,,,0,Units,,,27.13,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,27.39,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,27.64,,
1_PU,  Country - predominantly urban regions,LTU,Lithuania,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2016,2016,,,0,Units,,,27.88,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2000,2000,,,0,Units,,,45.85,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2001,2001,,,0,Units,,,45.97,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2002,2002,,,0,Units,,,45.75,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2003,2003,,,0,Units,,,45.92,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2004,2004,,,0,Units,,,46.06,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2005,2005,,,0,Units,,,46.16,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2006,2006,,,0,Units,,,46.26,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2007,2007,,,0,Units,,,46.28,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2008,2008,,,0,Units,,,46.29,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2009,2009,,,0,Units,,,46.27,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2010,2010,,,0,Units,,,46.24,,
1_PU,  Country - predominantly urban regions,GRC,Greece,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,46.14,,
